id,recorded_at,security,total_bid,total_ask,diff_percent,ppl_dominance,total_bid_splits,total_ask_splits,top_bid_qty,top_bid_price,current_bid_price
51,"2026-01-13 12:45:56",KHC.N0000,83544,100075,-19.7900,14.2900,28,21,25160,16.900000,17.100000
52,"2026-01-13 12:45:56",NTB.N0000,83414,100788,-20.8300,-35.0000,26,54,20489,335.000000,335.500000
53,"2026-01-13 12:45:56",TESS.X0000,3549221,4389207,-23.6700,9.2800,106,88,2255611,1.000000,1.100000
54,"2026-01-13 12:45:56",HPL.N0000,152923,190017,-24.2600,50.0000,51,17,31300,25.500000,26.100000
55,"2026-01-13 12:45:56",ATLL.N0000,13594,17026,-25.2500,38.8900,25,11,4336,35.000000,35.800000
56,"2026-01-13 12:45:56",COCO.X0000,23398,29306,-25.2500,-20.0000,16,24,2450,57.100000,59.800000
57,"2026-01-13 12:45:56",MULL.N0000,3711157,4691287,-26.4100,-1.2000,82,84,1110356,2.200000,2.300000
58,"2026-01-13 12:45:56",DOCK.N0000,166089,216632,-30.4300,45.1600,45,17,22763,121.000000,123.750000
59,"2026-01-13 12:45:56",CITH.N0000,4937752,6535115,-32.3500,-0.4400,113,114,2278311,3.700000,3.900000
60,"2026-01-13 12:45:56",ACL.N0000,320207,425431,-32.8600,68.5900,161,30,118071,100.000000,100.750000
61,"2026-01-13 12:45:56",PLR.N0000,1418185,1905389,-34.3500,-41.9800,47,115,185892,38.000000,38.600000
62,"2026-01-13 12:45:56",LFIN.N0000,62493,84511,-35.2300,-15.7900,24,33,12656,160.000000,163.000000
63,"2026-01-13 12:45:56",CITW.N0000,16204555,22607474,-39.5100,-3.3700,201,215,6415030,2.000000,2.000000
64,"2026-01-13 12:45:56",HHL.N0000,761809,1108957,-45.5700,69.7100,297,53,224196,34.000000,34.800000
65,"2026-01-13 12:45:56",PKME.N0000,71005,104127,-46.6500,-27.8400,35,62,26614,160.000000,163.500000
66,"2026-01-13 12:45:56",CTLD.N0000,62085,91197,-46.8900,-18.7500,13,19,2500,36.200000,38.200000
67,"2026-01-13 12:45:56",SEYB.N0000,93323,137534,-47.3700,-11.1100,24,30,20000,109.500000,109.750000
68,"2026-01-13 12:45:56",PARQ.N0000,265682,391759,-47.4500,24.7100,53,32,31725,90.000000,91.000000
69,"2026-01-13 12:45:56",SCAP.N0000,2266473,3342409,-47.4700,26.3200,120,70,839829,4.800000,4.900000
